customer_id,type_of_client,total_ytd_order,total_quantity,avg_quantity,total_order_amount_ytd,avg_total_order_amount_ytd,completed_years_of_education,education_over_age,loyalty,YTD_amount_negative,total_order_amount_Q1,total_order_amount_Q2,total_order_amount_Q3,total_order_amount_Q4,Q4_amount_negative,sex,marital_status,employment_type,occupation,country_of_origins,age,education,completed_years_of_education,marital_status,relationship_in_household,race
760566,NULL,51,105,2.0588,123.85,2.428431,14,15.1929,21,1,0.00,0.00,123.85,0.00,1,1,1,Private,Exec-managerial,United-States,47,Masters,14,Married-civ-spouse,Husband,White
5977861,NULL,23,65,2.8261,137.07,5.959565,15,5.3912,0,1,0.00,137.07,0.00,0.00,1,1,1,Self-emp-not-inc,Prof-specialty,United-States,64,Prof-school,15,Married-civ-spouse,Husband,White
5990855,Personal,5,21,4.2000,62.65,12.530000,9,1.8000,0,1,0.00,0.00,0.00,62.65,1,0,0,Self-emp-not-inc,Other-service,United-States,25,HS-grad,9,Never-married,Unmarried,White
6215488,Wholesaler,227,679,2.9912,3005.42,13.239736,8,33.0285,26,1,694.35,1047.40,296.65,967.02,1,1,0,Private,Prof-specialty,United-States,55,12th,8,Widowed,Not-in-family,White
6651064,NULL,6,12,2.0000,43.99,7.331667,9,1.2000,0,1,0.00,43.99,0.00,0.00,1,1,1,Self-emp-inc,Sales,United-States,45,HS-grad,9,Married-civ-spouse,Husband,White
6865793,NULL,175,300,1.7143,568.32,3.247543,9,25.0075,14,1,0.00,0.00,0.00,568.32,1,1,1,Private,Prof-specialty,United-States,63,HS-grad,9,Married-civ-spouse,Husband,White
7368802,NULL,72,158,2.1944,340.67,4.731528,7,19.3824,1,1,0.00,267.82,72.85,0.00,1,1,0,Private,Other-service,Mexico,26,11th,7,Never-married,Other-relative,White
7703001,NULL,11,14,1.2727,49.10,4.463636,11,5.5000,0,1,0.00,0.00,49.10,0.00,1,0,0,Private,Adm-clerical,United-States,22,Assoc-voc,11,Never-married,Not-in-family,White
9794193,NULL,83,276,3.3253,1003.15,12.086145,13,32.6937,7,1,0.00,359.84,643.31,0.00,1,1,1,Self-emp-inc,Other-service,Iran,33,Bachelors,13,Married-civ-spouse,Husband,Asian-Pac-Islander
9929654,Wholesaler,16,56,3.5000,256.12,16.007500,10,5.1616,0,1,0.00,0.00,0.00,256.12,1,1,1,Private,Craft-repair,United-States,31,Some-college,10,Married-civ-spouse,Husband,White
9949720,NULL,65,160,2.4615,334.95,5.153077,9,20.1695,0,1,0.00,0.00,0.00,334.95,1,1,1,Private,Transport-moving,United-States,29,HS-grad,9,Married-civ-spouse,Husband,White
11837051,Wholesaler,23,45,1.9565,90.11,3.917826,10,7.1875,6,1,0.00,0.00,0.00,90.11,1,0,0,Private,Sales,United-States,32,Some-college,10,Divorced,Unmarried,White
12313620,Wholesaler,78,266,3.4103,1077.42,13.813077,2,4.3368,5,1,0.00,537.41,198.79,341.22,1,0,0,Private,Other-service,El-Salvador,36,1st-4th,2,Never-married,Other-relative,Other
